Run,Iterations,Mana,Magecraft
454,100,178,195
455,100,228,205
456,100,223,204
457,1,0,1
458,100,253,210
459,4,1,6
460,100,183,196
461,100,198,199
462,100,213,202
463,1,0,1
464,100,133,186
465,100,228,205
466,100,213,202
467,100,218,203
468,1,0,1
469,100,223,204
470,100,183,196
471,2,2,3
472,4,1,6
473,1,0,1
474,1,0,1
475,1,0,1
476,14,1,22
477,100,193,198
478,2,2,3
479,2,2,3
480,1,0,1
481,1,0,1
482,100,153,190
483,1,0,1
484,1,0,1
485,100,173,194
486,1,0,1
487,100,253,210
488,100,188,197
489,1,0,1
490,100,213,202
491,1,0,1
492,1,0,1
493,100,198,199
494,1,0,1
495,100,208,201
496,7,2,11
497,100,238,207
498,100,188,197
499,100,178,195
500,100,198,199
501,100,218,203
502,100,248,209
503,2,2,3
504,1,0,1
505,100,188,197
506,1,0,1
507,100,208,201
508,1,0,1
509,2,2,3
510,100,153,190
511,1,0,1
512,100,208,201
513,4,1,6
514,100,248,209
515,100,238,207
516,1,0,1
517,100,178,195
518,1,0,1
519,100,243,208
520,1,0,1
521,100,178,195
522,100,218,203
523,2,2,3
524,100,223,204
525,100,183,196
526,2,2,3
527,100,233,206
528,2,2,3
529,2,2,3
530,100,273,214
531,2,2,3
532,100,223,204
533,1,0,1
534,1,0,1
535,2,2,3
536,100,198,199
537,100,158,191
538,100,323,224
539,2,2,3
540,100,203,200
541,100,273,214
542,1,0,1
543,100,208,201
544,1,0,1
545,1,0,1
546,1,0,1
547,1,0,1
548,100,228,205
549,100,193,198
550,2,2,3
551,2,2,3
552,100,183,196
553,4,1,6
554,100,188,197
555,1,0,1
556,1,0,1
557,2,2,3
558,100,168,193
559,1,0,1
560,100,188,197
561,2,2,3
562,100,208,201
563,100,178,195
564,100,273,214
565,1,0,1
566,100,198,199
567,2,2,3
568,100,208,201
569,100,183,196
570,1,0,1
571,2,2,3
572,1,0,1
573,1,0,1
574,7,2,11
575,100,213,202
576,100,193,198
577,1,0,1
578,100,243,208
579,100,208,201
580,100,188,197
581,100,168,193
582,100,228,205
583,2,2,3
584,2,2,3
585,1,0,1
586,1,0,1
587,1,0,1
588,100,238,207
589,100,188,197
590,100,138,187
591,1,0,1
592,2,2,3
593,100,153,190
594,1,0,1
595,2,2,3
596,1,0,1
597,100,158,191
598,100,238,207
599,100,203,200
600,100,243,208
601,100,218,203
602,1,0,1
603,2,2,3
604,100,163,192
605,100,193,198
606,6,0,9
607,1,0,1
608,2,2,3
609,100,153,190
610,1,0,1
611,100,228,205
612,1,0,1
613,100,178,195
614,100,173,194
615,100,218,203
616,1,0,1
617,100,233,206
618,1,0,1
619,100,183,196
620,1,0,1
621,100,153,190
622,1,0,1
623,100,193,198
624,1,0,1
625,100,223,204
626,1,0,1
627,1,0,1
628,2,2,3
629,6,0,9
630,100,133,186
631,1,0,1
632,100,208,201
